; Plug and Play device IDs
; All lines beginning with PNPxxxx are interpreted
; as device ID descriptions.  Begin comment lines with semicolon (;)

PNP0000 	AT Interrupt Controller
PNP0001 	EISA Interrupt Controller
PNP0002 	MCA Interrupt Controller
PNP0003 	APIC
PNP0004 	Cyrix SLiC MP interrupt controller
PNP0100 	AT Timer
PNP0101 	EISA Timer
PNP0102 	MCA Timer
PNP0200 	AT DMA Controller
PNP0201 	EISA DMA Controller
PNP0202 	MCA DMA Controller
PNP0300 	IBM PC/XT keyboard controller (83-key)
PNP0301 	IBM PC/AT keyboard controller (86-key)
PNP0302 	IBM PC/XT keyboard controller (84-key)
PNP0303 	IBM Enhanced (101/102-key, PS/2 mouse support)
PNP0304 	Olivetti Keyboard (83-key)
PNP0305 	Olivetti Keyboard (102-key)
PNP0306 	Olivetti Keyboard (86-key)
PNP0307 	Microsoft Windows (R) Keyboard
PNP0308 	General Input Device Emulation Interface (GIDEI) legacy
PNP0309 	Olivetti Keyboard (A101/102 key)
PNP030A 	AT&T 302 keyboard
PNP0400 	Standard LPT printer port
PNP0401 	ECP printer port
PNP0500 	Standard PC COM port
PNP0501 	16550A compatible COM port
PNP0600 	Generic ESDI/IDE/ATA compatible hard disk controller
PNP0601 	Plus Hardcard II
PNP0602 	Plus Hardcard IIXL/EZ
PNP0603 	HP Omnibook IDE Controller
PNP0700 	PC standard floppy disk controller
PNP0701 	HP Omnibook floppy disk controller
PNP0802 	Microsoft Sound System compatible device (obsolete, use PNPB0xx instead)
PNP0900 	VGA Compatible
PNP0901 	Video Seven VRAM/VRAM II/1024i
PNP0902 	8514/A Compatible
PNP0903 	Trident VGA
PNP0904 	Cirrus Logic Laptop VGA
PNP0905 	Cirrus Logic VGA
PNP0906 	Tseng ET4000
PNP0907 	Western Digital VGA
PNP0908 	Western Digital Laptop VGA
PNP0909 	S3 Inc. 911/924
PNP090A 	ATI Ultra Pro/Plus (Mach 32)
PNP090B 	ATI Ultra (Mach 8)
PNP090C 	XGA Compatible
PNP090D 	ATI VGA Wonder
PNP090E 	Weitek P9000 Graphics Adapter
PNP090F 	Oak Technology VGA
PNP0910 	Compaq QVision
PNP0911 	XGA/2
PNP0912 	Tseng Labs W32/W32i/W32p
PNP0913 	S3 Inc. 801/928/964
PNP0914 	Cirrus Logic 5429/5434 (memory mapped)
PNP0915 	Compaq Advanced VGA (AVGA)
PNP0916 	ATI Ultra Pro Turbo (Mach64)
PNP0917 	Reserved by Microsoft
PNP0930 	Chips & Technologies Super VGA
PNP0931 	Chips & Technologies Accelerator
PNP0940 	NCR 77c22e Super VGA
PNP0941 	NCR 77c32blt
PNP09FF 	Plug & Play Monitors (VESA DDC)
PNP0A00 	ISA Bus
PNP0A01 	EISA Bus
PNP0A02 	MCA Bus
PNP0A03 	PCI Bus
PNP0A04 	VESA/VL Bus
PNP0800 	AT style speaker sound
PNP0B00 	AT Real Time Clock
PNP0C00 	Plug and Play BIOS (only created by the root enumerator)
PNP0C01 	System Board
PNP0C02 	System Board Plug and Play registers
PNP0C03 	Plug & Play BIOS Event Notification Interrupt
PNP0C04 	Math Coprocessor
PNP0C05 	APM BIOS (Version independent)
PNP0C06 	Reserved for identification of early PnPBIOS implementation.
PNP0C07 	Reserved for identification of early PnPBIOS implementation.
PNP0E00 	Intel 82365 Compatible PCMCIA Controller
PNP0E01 	Cirrus Logic CL-PD6720 PCMCIA Controller
PNP0E02 	VLSI VL82C146 PCMCIA Controller
PNP0F00 	Microsoft Bus Mouse
PNP0F01 	Microsoft Serial Mouse
PNP0F02 	Microsoft Inport Mouse
PNP0F03 	Microsoft PS/2 Mouse
PNP0F04 	MouseSystems Mouse
PNP0F05 	MouseSystems 3-Button Mouse (COM2)
PNP0F06 	Genius Mouse (COM1)
PNP0F07 	Genius Mouse (COM2)
PNP0F08 	Logitech Serial Mouse
PNP0F09 	Microsoft Ballpoint Serial Mouse
PNP0F0A 	Microsoft Plug and Play Mouse
PNP0F0B 	Microsoft Plug and Play Ballpoint Mouse
PNP0F0C 	Microsoft Compatible Serial Mouse
PNP0F0D 	Microsoft Compatible Inport Mouse
